id_point,x_buffer,y_buffer,z_align,id_buffer_point,z_dtm_buffer,dist,min_dist
8,2612367.052185543,1269078.8444811238,205.0473333333333,65,257.7168,52.669466666666665,
8,2612386.9106666665,1269087.0701333333,205.0473333333333,66,262.2828,57.235466666666696,
9,2612426.331,1269029.594,203.058,67,262.7191,59.66110000000003,
9,2612445.50570793,1269052.4455270628,203.058,68,262.8835,59.825500000000034,
9,2612455.7083569164,1269034.7740206462,203.058,69,262.83099999999996,59.77299999999997,
9,2612452.1650141086,1269014.678725,203.058,70,263.0808,60.02280000000002,
9,2612436.5336489864,1269001.5624522911,203.058,71,262.5492,59.49119999999999,
9,2612416.128351013,1269001.5624522911,203.058,72,262.4206,59.362599999999986,
9,2612400.496985891,1269014.678725,203.058,73,259.9431,56.88510000000002,MIN
9,2612396.953643083,1269034.7740206462,203.058,74,262.2468,59.188800000000015,
